Complexity,Loss,Equation
1,0.00812890775458425,"0.07696397184871084"
3,0.0003217611785253754,"0.22018964628671478 - L"
5,0.0002722665972901015,"(L * -0.9264657385341492) + 0.2096576521170122"
7,3.4846064717791386e-5,"(r - 1.112914346739522) * (L - 0.22404268894226723)"
9,2.442652762287733e-5,"((L - 0.18649283763128977) * (r - 1.2166418417922173)) - -0.019207315757603757"
11,1.8415855113693886e-5,"(L - 0.2411597843714865) / (0.4298056049073496 / ((r * r) - 0.415413627496571))"
13,5.531447122241853e-6,"(L - 0.2424599397844265) * (r - ((1.4105862845897534 - r) ^ (L / 0.08058448793277624)))"
15,4.712337654848235e-6,"((L - 0.2408275132227764) * (r - ((1.4091844732152674 - r) ^ (L / 0.08433097826159792)))) / 0.9862470703772109"
17,4.408681018322377e-6,"(r - ((1.5343569679339868 - (r + L)) ^ (L / 0.13052740365686585))) * ((L - 0.24084662354851824) / 0.9847136622692899)"
19,3.0813426377207594e-6,"(L - 0.24101887178271997) * (r - (((1.1380348055729834 - L) ^ (5.782075107659257 ^ ((L * 5.781964777365258) + 0.35318624568953844))) ^ r))"
21,2.4905790526636954e-6,"((L - 0.24118131470052023) * (r - (((1.1326253434911784 - L) ^ (5.7820777114712785 ^ ((L * 5.781970504776585) + 0.353167286866208))) ^ r))) - -0.0011143269840989886"
